schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
12100,ゲーム開発部模様の寝具セット,,ゲーム開発部模様の布団と枕。かっこいい夢が見られそうだ。,
12101,ミレニアム宅配セットボックス,,様々な品物が包装された宅配ボックス。開発に必要な物が入っている。,
12102,青の円形カーペット,,青の円形カーペット。空間に活気を与える。,
12103,ゲーム開発部の白いスツール,,キルティング入りの白いスツール。とてもふかふかで長時間座っても疲れない。,
12104,ゲーム開発部の青い座椅子,,キルティング入りの青い座椅子。ふかふかのキルティングに背中をもたせられて、とても楽だ。,
12105,ゲーム開発部の赤い座布団,,四角いキルティング模様が入った赤い座布団。どの空間にもよく馴染む。,
12106,ゲーム開発部の部室ドア,,ゲーム開発部の部室に出入りが可能なドア。ゲーム開発部へようこそ！,
12107,ミレニアムロゴの窓付きパーテーション,,ミレニアムロゴが刻まれたパーテーション。窓が開放感を与えてくれる。,
12108,シルバー·ポリッシングの床,,シルバーポリッシング素材の床。どの色ともよく馴染むので廊下の構成にピッタリだ。,
12109,ゲーム開発部の青いロッカー,,秘密の雰囲気を持つ青いロッカー。勝手にドアを開けないように！,
12110,ゲーム開発部の鉄製パーテーション,,ゲーム開発部の重要な瞬間を記録する鉄製パーテーション。様々な瞬間を垣間見ることができる。,
12111,サンスベリアセット植木鉢,,ユニークな植木鉢のサンスベリアセット。空気を浄化する能力があるそうだ！,
12112,ゲーム開発部のスケジュールボード,,ゲーム開発部のスケジュールボード。毎日必ず確認しよう！,
12113,ドリンクお菓子セットのテーブル,,飲み残しとお菓子が置かれたテーブル。食べたい時に思う存分食べよう！,
12114,ブルーラインの柱,,青い横線がある柱。空間にワンポイントを与えることができる。,
12115,ゲーム開発部のロゴプレート,,ゲーム開発部のロゴが刻まれた金属プレート。ここがゲーム開発部の部室です！,
12116,白いミニ換気扇,,白色の小さな換気扇。小さい割に効果は非常に強力！,
12117,ゲーム開発部のLED電光板,,ゲーム開発部のロゴが出力されているLED電光板。レトロな感じを与える。,
12118,ヴィンテージな壁掛け扇風機,,ヴィンテージ感のある壁掛け扇風機。少しガタガタするが性能には問題ない！,
12119,ゲーム開発部の額縁,,ゲームのワンシーンを見ることができる額縁。大作の気配が感じられる！,
12120,ゲーム開発部の壁掛けエアコン,,涼しい風が感じられる壁掛けエアコン。暑い夏の必須アイテムだ。,
12200,レトロゲーム収納テーブル,,レトロゲームを楽しめるテーブル。様々な名作をプレイしてみよう！,
12201,ノートパソコン収納テーブル,,ノートパソコンが載った収納テーブル。誰かの痕跡が感じられる。,
12202,ゲーム本収納テーブル,,ゲーム関連の本が載った収納テーブル。引き出しにもゲーム本がいっぱい入っている。,
12203,ゲーム用モニター,,ゲームを楽しめるモニター。様々なゲームをプレイすることができる。,
12204,ボードゲーム収納ケース,,ボードゲームが収納された収納ケース。みんなで集まってボードゲームを楽しもう！,
12205,ゲームグッズ収納ケース,,様々なゲームグッズが収納された収納ケース。隠された物が見つかったりも。,
12206,ゲーム機収納ケース,,ゲーム機が収納された収納ケース。ゲーム機は慎重に扱おう。,
12207,ゲーム開発部のソファー,,赤色のソファー。すべての部員が集まるのに適した場所だ。,
12208,ゲーム開発部のピンクベアーぬいぐるみ,,かわいい雰囲気を演出できるピンク色のクマのぬいぐるみ。可愛らしい雰囲気を与える。,
12209,モノトーンパターンの床,,モノトーンパターンの床。白黒の組み合わせはどの空間にもよく馴染む。,
12210,ブルーラインの壁,,青い横線がある壁。なつかしさを感じる色の組み合わせが印象的だ。,
12211,ゲーム開発部のロゴ背景,,ゲーム開発部のポイントが描かれた背景。ゲーム開発部の独特な雰囲気を演出できる。,
12300,ゲーム開発部の個人収納ケース,,ゲーム開発部の部員の物を収納できる収納ケース。部員の個性があらわれる。,
12301,ゲーム機用のウッドモニター,,ゲームが楽しめるウッド素材のモニター。ゲームに集中できる環境が整っている。,
12302,ゲーム開発部のカーペット,,ゲーム用品が置かれたかわいいカーペット。クマの形をしたカーペットが可愛らしい雰囲気を演出してくれる。,
12303,ゲーム開発部の人形,,ゲーム開発部の部員を参考にして作った人形。小さいサイズだが繊細なディテールが目立つ。,
12304,ゲーム開発部のホワイトボード,,重要な内容が作成されたホワイトボード。すべての部員の落書きを見ることができる。,
12305,ゲーム開発部のカーテン付き窓,,かわいいキャラクターパターンのカーテン付き窓。日光からモニター画面を守ってくれる！,
