schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
1,ナチュラルな木の床,,木の床。温かくて自然な雰囲気を与えてくれる。,
2,ナチュラルな木の壁,,ナチュラルな木の壁。ポイントカラーが単調過ぎない、まとまった空間を演出してくれる。,
3,空色のグラデーション背景,,空色のグラデーション背景。生徒たちに開放感を与えてくれるこの背景は、どんな家具にでもよく馴染む。,
4,ホワイトボード,,あちこちにメモが貼られたホワイトボード。よく見ると、そこには生徒たちの何気ない日常がちりばめられている。,
5,原木の収納ケース,,広い収納スペースが長所の、原木の収納ケース。自慢したいものは見せられるし、内緒のあんなものやこんなものは隠すことができる。,
6,シンプルな青色カーペット,,シンプルな青色のカーペット。そのシンプルさはどんな空間にもよく馴染む。,
7,原木の椅子,,良質な原木の椅子。湿気や汚れに強いため長く使える。,
8,原木のサイドチェア,,丈夫なサイドチェア。安全に使うために、ネジはしっかり締めよう。,
9,原木の収納テーブル,,小物を保管しやすい良質な収納テーブル。引き出しがあるため、テーブルの上はいつもきれいに保てる、はず。,
10,原木の大型テーブル,,クラシックなデザインのテーブル。原木素材が、長い時間保たれてきた自然な美しさを演出してくれる。,
11,カーテン付き窓,,カーテンが付いた窓。窓の外から風が入ると平和を感じられる。,
100000,ビナー戦（屋外戦）のブロンズトロフィー,,ビナー戦（屋外戦）の栄誉を讃えるブロンズトロフィー,
100001,ビナー戦（屋外戦）のシルバートロフィー,,ビナー戦（屋外戦）の栄誉を讃えるシルバートロフィー,
100002,ビナー戦（屋外戦）のゴールドトロフィー,,ビナー戦（屋外戦）の栄誉を讃えるゴールドトロフィー,
100003,ビナー戦（屋外戦）のプラチナトロフィー,,ビナー戦（屋外戦）の栄誉を讃えるプラチナトロフィー,
100020,ビナー戦（市街地戦）のブロンズトロフィー,,ビナー戦（市街地戦）の栄誉を讃えるブロンズトロフィー,
100021,ビナー戦（市街地戦）のシルバートロフィー,,ビナー戦（市街地戦）の栄誉を讃えるシルバートロフィー,
100022,ビナー戦（市街地戦）のゴールドトロフィー,,ビナー戦（市街地戦）の栄誉を讃えるゴールドトロフィー,
100023,ビナー戦（市街地戦）のプラチナトロフィー,,ビナー戦（市街地戦）の栄誉を讃えるプラチナトロフィー,
100100,ケセド（屋外戦）のブロンズトロフィー,,ケセド（屋外戦）の栄誉を讃えるブロンズトロフィー,
100101,ケセド（屋外戦）のシルバートロフィー,,ケセド（屋外戦）の栄誉を讃えるシルバートロフィー,
100102,ケセド（屋外戦）のゴールドトロフィー,,ケセド（屋外戦）の栄誉を讃えるゴールドトロフィー,
100103,ケセド（屋外戦）のプラチナトロフィー,,ケセド（屋外戦）の栄誉を讃えるプラチナトロフィー,
100110,ケセド（屋内戦）のブロンズトロフィー,,ケセド（屋内戦）の栄誉を讃えるブロンズトロフィー,
100111,ケセド（屋内戦）のシルバートロフィー,,ケセド（屋内戦）の栄誉を讃えるシルバートロフィー,
100112,ケセド（屋内戦）のゴールドトロフィー,,ケセド（屋内戦）の栄誉を讃えるゴールドトロフィー,
100113,ケセド（屋内戦）のプラチナトロフィー,,ケセド（屋内戦）の栄誉を讃えるプラチナトロフィー,
100210,シロ＆クロ（屋内戦）のブロンズトロフィー,,シロ＆クロ（屋内戦）の栄誉を讃えるブロンズトロフィー,
100211,シロ＆クロ（屋内戦）のシルバートロフィー,,シロ＆クロ（屋内戦）の栄誉を讃えるシルバートロフィー,
100212,シロ＆クロ（屋内戦）のゴールドトロフィー,,シロ＆クロ（屋内戦）の栄誉を讃えるゴールドトロフィー,
100213,シロ＆クロ（屋内戦）のプラチナトロフィー,,シロ＆クロ（屋内戦）の栄誉を讃えるプラチナトロフィー,
100220,シロ＆クロ（市街地戦）のブロンズトロフィー,,シロ＆クロ（市街地戦）の栄誉を讃えるブロンズトロフィー,
100221,シロ＆クロ（市街地戦）のシルバートロフィー,,シロ＆クロ（市街地戦）の栄誉を讃えるシルバートロフィー,
100222,シロ＆クロ（市街地戦）のゴールドトロフィー,,シロ＆クロ（市街地戦）の栄誉を讃えるゴールドトロフィー,
100223,シロ＆クロ（市街地戦）のプラチナトロフィー,,シロ＆クロ（市街地戦）の栄誉を讃えるプラチナトロフィー,
100310,ヒエロニムス（屋内戦）のブロンズトロフィー,,ヒエロニムス（屋内戦）の栄誉を讃えるブロンズトロフィー,
100311,ヒエロニムス（屋内戦）のシルバートロフィー,,ヒエロニムス（屋内戦）の栄誉を讃えるシルバートロフィー,
100312,ヒエロニムス（屋内戦）のゴールドトロフィー,,ヒエロニムス（屋内戦）の栄誉を讃えるゴールドトロフィー,
100313,ヒエロニムス（屋内戦）のプラチナトロフィー,,ヒエロニムス（屋内戦）の栄誉を讃えるプラチナトロフィー,
100320,ヒエロニムス（市街地戦）のブロンズトロフィー,,ヒエロニムス（市街地戦）の栄誉を讃えるブロンズトロフィー,
100321,ヒエロニムス（市街地戦）のシルバートロフィー,,ヒエロニムス（市街地戦）の栄誉を讃えるシルバートロフィー,
100322,ヒエロニムス（市街地戦）のゴールドトロフィー,,ヒエロニムス（市街地戦）の栄誉を讃えるゴールドトロフィー,
100323,ヒエロニムス（市街地戦）のプラチナトロフィー,,ヒエロニムス（市街地戦）の栄誉を讃えるプラチナトロフィー,
100400,KAITEN FX Mk.0（屋外戦）のブロンズトロフィー,,KAITEN FX Mk.0（屋外戦）の栄誉を讃えるブロンズトロフィー,
100401,KAITEN FX Mk.0（屋外戦）のシルバートロフィー,,KAITEN FX Mk.0（屋外戦）の栄誉を讃えるシルバートロフィー,
100402,KAITEN FX Mk.0（屋外戦）のゴールドトロフィー,,KAITEN FX Mk.0（屋外戦）の栄誉を讃えるゴールドトロフィー,
100403,KAITEN FX Mk.0（屋外戦）のプラチナトロフィー,,KAITEN FX Mk.0（屋外戦）の栄誉を讃えるプラチナトロフィー,
100420,KAITEN FX Mk.0（市街地戦）のブロンズトロフィー,,KAITEN FX Mk.0（市街地戦）の栄誉を讃えるブロンズトロフィー,
100421,KAITEN FX Mk.0（市街地戦）のシルバートロフィー,,KAITEN FX Mk.0（市街地戦）の栄誉を讃えるシルバートロフィー,
100422,KAITEN FX Mk.0（市街地戦）のゴールドトロフィー,,KAITEN FX Mk.0（市街地戦）の栄誉を讃えるゴールドトロフィー,
100423,KAITEN FX Mk.0（市街地戦）のプラチナトロフィー,,KAITEN FX Mk.0（市街地戦）の栄誉を讃えるプラチナトロフィー,
100510,ペロロジラ（屋内戦）のブロンズトロフィー,,ペロロジラ（屋内戦）の栄誉を讃えるブロンズトロフィー,
100511,ペロロジラ（屋内戦）のシルバートロフィー,,ペロロジラ（屋内戦）の栄誉を讃えるシルバートロフィー,
100512,ペロロジラ（屋内戦）のゴールドトロフィー,,ペロロジラ（屋内戦）の栄誉を讃えるゴールドトロフィー,
100513,ペロロジラ（屋内戦）のプラチナトロフィー,,ペロロジラ（屋内戦）の栄誉を讃えるプラチナトロフィー,
100500,ペロロジラ（屋外戦）のブロンズトロフィー,,ペロロジラ（屋外戦）の栄誉を讃えるブロンズトロフィー,
100501,ペロロジラ（屋外戦）のシルバートロフィー,,ペロロジラ（屋外戦）の栄誉を讃えるシルバートロフィー,
100502,ペロロジラ（屋外戦）のゴールドトロフィー,,ペロロジラ（屋外戦）の栄誉を讃えるゴールドトロフィー,
100503,ペロロジラ（屋外戦）のプラチナトロフィー,,ペロロジラ（屋外戦）の栄誉を讃えるプラチナトロフィー,
100620,ホド（市街地戦）のブロンズトロフィー,,ホド（市街地戦）の栄誉を讃えるブロンズトロフィー,
100621,ホド（市街地戦）のシルバートロフィー,,ホド（市街地戦）の栄誉を讃えるシルバートロフィー,
100622,ホド（市街地戦）のゴールドトロフィー,,ホド（市街地戦）の栄誉を讃えるゴールドトロフィー,
100623,ホド（市街地戦）のプラチナトロフィー,,ホド（市街地戦）の栄誉を讃えるプラチナトロフィー,
100710,ゴズ（屋内戦）のブロンズトロフィー,,ゴズ（屋内戦）の栄誉を讃えるブロンズトロフィー,
100711,ゴズ（屋内戦）のシルバートロフィー,,ゴズ（屋内戦）の栄誉を讃えるシルバートロフィー,
100712,ゴズ（屋内戦）のゴールドトロフィー,,ゴズ（屋内戦）の栄誉を讃えるゴールドトロフィー,
100713,ゴズ（屋内戦）のプラチナトロフィー,,ゴズ（屋内戦）の栄誉を讃えるプラチナトロフィー,
200301,トリニティの噴水,,トリニティに置かれているタイプの、白を基調とした噴水。そのきらめく水流を眺めていると、これまでの数々の美しい思い出が去来する。,
201301,夏色のフォトボード,,夏の思い出が貼られたボード。じっと見つめていると、輝かしい記憶が鮮明に蘇る。,
202301,きらめくクリスマスツリー,,寒い冬を明るく照らしてくれるクリスマスツリー。ライトを点けると、心まで温かくなってくる。,
202302,227号温泉郷の案内図,,227号温泉郷の案内図が描かれたボード。温泉郷の中の位置関係や情報などを知ることができる。,
203301,ブルー·ニュートロ·ターンテーブル,,アンプとスピーカーとのセットになったニュートロ風のターンテーブル。青い光がチルアウトさせてくれる。,
203302,百夜堂の出張屋台,,桜の花で飾られた百夜堂の移動式店舗。百夜堂の人気メニューをどこでもお楽しみいただけます！,
203303,伝統的な格子の掃き出し窓,,伝統的な方法で作られた格子の掃き出し窓。箒での掃除をぐっと楽にしてくれる。,
204301,アンティークな収納付きウッドデスク,,収納スペースがたくさんある、アンティークな木製デスク。古書の解読作業などにぴったり！,
205301,ロイヤルダイヤチェア,,古風なダイヤパターンのチェア。節制された曲線型のデザインがお洒落さを増している。,
206301,ホログラム·キューブ·ターンテーブル,,最先端技術が集約されたターンテーブル。音楽に合わせて動くホログラムでリズムを感じてみよう！,
207301,大運動会のガイドボード,,大運動会の日程が書かれたガイドボード。大運動会の情報を知ることができる。,
207302,カウンターチェア・ゴールドブラック,,ゴールド仕上げが引き立つカウンターチェア。どこにあっても高級感を感じられる。,
207303,カウンターチェア・ゴールドレッドワイン,,気品が感じられるカウンターチェア。赤のベルベット生地がとても柔らかい。,
207304,カウンターチェア・シルバーネオンブルー,,ほのかなシルバー仕上げのカウンターチェア。爽やかな雰囲気を楽しみたい人にオススメ。,
207305,カウンターチェア・ダークバイオレット,,魅力が引き立つカウンターチェア。周囲に魅惑を振りまける。,
207306,大運動会の思い出,,大運動会の思い出を集めた大運動会コンセプトボード。楽しかった思い出がちらつく。,
207307,格闘ゲーム機,,熾烈な格闘ゲームが楽しめる2人用ゲーム機。すぐにでもプレイしたい。,
207308,暖かなクリスマス暖炉,,様々なプレゼントと共に体を暖めてくれるクリスマス暖炉。眺めるだけで心も温まってくる。,
207309,軽快な譜面台,,すぐにでも軽快なメロディーを演奏したくなる譜面台。楽しい音楽が聞こえてくる。,
207310,豪奢な装飾のティーテーブル,,豪奢で美しい花の装飾が印象的なティーテーブル。お茶の良い香りが心を落ち着かせてくれる。,
207311,トリニティオルガン,,トリニティの装飾が細かく荘厳なオルガン。眺めているだけでも神聖な感じがする。,
207312,ティーパーティーテーブル,,華やかなデザインが際立つティーパーティーのテーブル。美しい外観とは異なり、深刻な話が行き来することもある。,
207313,取調室のテーブル,,ヴァルキューレ警察学校の取調室に設置されている一般的なテーブル。取り調べは時に厳しく、時に優しく。,
207314,大聖堂の長椅子,,座ると敬虔な心を持てるようになる椅子。朝晩のお祈りに適している。,
208301,D.U.シラトリ区のジオラマ,,D.U.シラトリ区の復旧状況がわかるジオラマが設置されたテーブル。達成感を感じてみよう。,
209301,植物棚,,丁寧に手入れされた植物棚。雑草ばかりだがマメに管理されている。,
209302,百鬼夜行グッズの飾り棚,,百鬼夜行の人気グッズを集めた飾り棚。マニア垂涎の逸品ばかりが揃っている。,
210301,ゲーム開発部のロッカー,,ゲーム開発部の部室を守っているロッカー。内部の居心地は良いと評判だ。,
210302,カウンターチェア・ディープブルー,,冷たい色合いが引き立つカウンターチェア。都会的な雰囲気がする。,
210303,水色のシングルソファ,,一人で座れる水色のソファ。ふんわりとした肌触りが魅力的だ。,
210304,鉄製引き戸ロッカー,,たくさんのものを収納できる大きなロッカー。猫の秘密基地にもなっているとか。,
210305,中華風ホットショーケース,,美味しそうな食材と甘口の醬油が並ぶ中華風のホットショーケース。見る人の食欲をそそらせる。,
210306,中華風の椅子,,古風な雰囲気が漂う中華風の椅子。原木の高級感と豊かな色合いのクッションが絶妙なハーモニーを奏でる。,
301001,総力戦ブロンズトロフィースタンド01,,"総力戦ボス3種類のトロフィーを見ることができるブロンズトロフィースタンド
（ビナー、ケセド、シロ＆クロ）",
301101,総力戦シルバートロフィースタンド01,,"総力戦ボス3種類のトロフィーを見ることができるシルバートロフィースタンド
（ビナー、ケセド、シロ＆クロ）",
301201,総力戦ゴールドトロフィースタンド01,,"総力戦ボス3種類のトロフィーを見ることができるゴールドトロフィースタンド
（ビナー、ケセド、シロ＆クロ）",
301301,総力戦プラチナトロフィースタンド01,,"総力戦ボス3種類のトロフィーを見ることができるプラチナトロフィースタンド
（ビナー、ケセド、シロ＆クロ）",
301002,総力戦ブロンズトロフィースタンド02,,"総力戦ボス3種類のトロフィーを見ることができるブロンズトロフィースタンド
（ヒエロニムス、KAITEN FX Mk.0、ペロロジラ）",
301102,総力戦シルバートロフィースタンド02,,"総力戦ボス3種類のトロフィーを見ることができるシルバートロフィースタンド
（ヒエロニムス、KAITEN FX Mk.0、ペロロジラ）",
301202,総力戦ゴールドトロフィースタンド02,,"総力戦ボス3種類のトロフィーを見ることができるゴールドトロフィースタンド
（ヒエロニムス、KAITEN FX Mk.0、ペロロジラ）",
301302,総力戦プラチナトロフィースタンド02,,"総力戦ボス3種類のトロフィーを見ることができるプラチナトロフィースタンド
（ヒエロニムス、KAITEN FX Mk.0、ペロロジラ）",
302301,リコレクト・メモリー1st,,1st PVの映像を再生できる機械,
302302,リコレクト・メモリー2nd,,2nd PVの映像を再生できる機械,
302303,リコレクト・メモリー3rd,,3rd PVの映像を再生できる機械,
302304,リコレクト・メモリー4th,,4th PVの映像を再生できる機械,
302305,リコレクト・メモリー4.5th,,4.5th PVの映像を再生できる機械,
