schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
9100,ビーチサイドのホワイトチェア,,夏の暑さを冷ますホワイトチェア。しばらく座って海の景観を鑑賞してみよう。,
9101,ビーチサイドのクーリングマット,,涼しげな色合いが魅力的なクーリングマット。床からの熱気を落ち着かせてくれる、ソフトでひんやりとしたマット。,
9102,ベーシックホワイトパーテーション,,白の配色が印象的なベーシックなホワイトパーテーション。どこでも効率的に空間を分けることができる。,
9103,原木のホワイトパーテーション,,原木仕上げが目立つホワイトパーテーション。スペースを分けて使うのに有用だ。,
9104,クールドリンク用冷蔵庫,,冷たい飲み物でいっぱいのクールドリンク用冷蔵庫。夏の熱気から少し凌ぐことができる。,
9105,ビーチサイドのホワイトテーブル,,ビーチサイドのホワイトテーブル。空間に爽やかな印象を与える。,
9106,原木のテラステーブル,,原木のテラステーブル。広い空間に活用するのに有効だ。,
9107,爽やかなフルーツバー,,爽やかなフルーツが用意された原木のテーブル。様々なフルーツで夏の暑さを冷ましてみよう。,
9108,爽やかなフルーツ壁飾り,,大胆な配色の爽やかなフルーツポスター。どの壁に配置しても見る人の視線を捕らえる。,
9200,営業中ののぼり旗,,営業中を知らせるのぼり旗。これもまた夏の風情を感じさせる。,
9201,ビーチサイドのクーリング扇風機,,ビーチサイドのクーリング扇風機。どこでも涼しい風を感じさせてくれる。,
9202,ビーチサイドのカラフルライフジャケット,,どこでも目立つカラフルなライフジャケット。海に遊びに行くなら、必需品だ。,
9203,レモンパラソルホワイトテーブル,,レモン色のパラソルが印象的なホワイトテーブル。激しい夏の日差しを穏やかな照明に変えてくれる。,
9204,ビーチサイドの原木の床,,ビーチサイドにある原木の床。きれいに整列された木目の模様が安定感を与えてくれる。,
9205,ビーチサイドのホワイトの壁,,原木のワンポイントが引き立つホワイトの壁。明るい色が空間に活気を吹き込んでくれる。,
9206,ビーチサイドのオーシャンビュー窓,,海が広がるオーシャンビューの窓。狭い空間を広く見せてくれる。,
9207,ビーチサイドの背景,,海の涼しさと夏の暑さが感じられるビーチサイドの背景。その涼しさに飛び込みたくなる。,
9300,チル&amp;クールアイスクリーム冷蔵庫,,爽やかなアイスクリームがいっぱいのアイスクリーム用冷蔵庫。一度にたくさん食べたらお腹をこわすかも……？,
9301,カラフルドリンクバー,,多彩なフルーツが備わったカラフルドリンクバー。たくさんの味にわくわくする。,
9302,甘くて涼しいかき氷バー,,いつでもおいしいかき氷が作れるかき氷テーブル。夏の暑さもかき氷1口で消し飛ぶだろう。,
9303,ビーチサイドのオーシャンビューテラス,,広々とした海が広がるオーシャンビューテラス。真夏の爽やかな海の香りをもたらしてくれる。,
9304,ビーチサイドのふわふわ浮き輪,,可愛らしいふわふわ浮き輪。迷いなく海に飛び込ませてくれる。,
