schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
11100,アビドス教室の黒板,,キレイに片付けられている黒板。なにかちょっと落書きしたくなる。,
11101,アビドス教室の生徒用ロッカー,,アビドスの生徒に与えられるロッカー。内部を飾るのは各自の自由。,
11102,アビドス教室の収納ケース,,教室に必要なものを収納できる収納ケース。色の配分が可愛い。,
11103,アビドス教室の椅子,,すっきりした外観が印象的な教室の椅子。机を少し移せば友達と並んで座ることができる。,
11104,アビドス教室の壁掛け時計,,すっきりとしたデザインの壁掛け時計。ランチタイムが始る前の1分1秒を争う生徒たちにとって重要なもの。,
11105,アビドス教室のお弁当が置かれた机,,誰かの温かい気持ちのこもったお弁当が置かれた机。食事の時間はまだ遠い。,
11106,アビドス教室の床,,ベージュ色が印象的な教室の床。滑りにくい仕様で安全だ。,
11107,アビドス教室の廊下パーテーション,,スペースを効率的に分けられる教室のパーテーション。楽しい状況を演出できる。,
11108,アビドス教室の壁掛けスピーカー,,クラシックなデザインの教室の壁掛けスピーカー。予想よりも音が力強い。,
11109,アビドス教室の柱,,パーテーションとマッチする教室の柱。鮮やかな色が印象的だ。,
11200,アビドス教室のスケジュール黒板,,学校のスケジュールを一目で見ることができる黒板。毎日新しい日程でいっぱいだ。,
11201,アビドス教室のキャンペーン黒板,,学校のキャンペーンを閲覧できる黒板。積極的な生徒たちの表情を垣間見ることができる。,
11202,アビドス教室の掃除道具箱,,清潔さは生徒の美徳。アビドスの清掃道具箱は何でも揃っている。,
11203,アビドス教室の先生用ロッカー,,先生だけのための教室ロッカー。それぞれの記念日にはロッカーがしばしば溢れたりも？,
11204,アビドス教室のカーディガンが置かれた机,,黄色いカーディガンが掛かっている机。温厚な上、何だか豊かな気品が感じられる。,
11205,アビドス教室のクジラ人形が置かれた机,,かわいいクジラの人形が置かれた机。何だかゆったりとした気分が味わえる。,
11206,アビドス教室のメガネが置かれた机,,赤い縁のメガネが置かれた机。丁寧で信頼できる持ち主の机だ。,
11207,アビドス教室の覆面が置かれた机,,覆面が置かれた机。凡庸でないオーラが感じられる。,
11208,アビドス教室のリボンと手袋が置かれた机,,リボンと手袋が置かれた机。この机の持ち主なら重要なことも任せられそうだ。,
11209,アビドス教室の大きなバッグが置かれた机,,大きなバックが置かれた机。どうしたことか持ち主は長い間席に戻ってきてないようだ。,
11210,アビドス教室のガンスタンド,,生徒たちの最も大切な物の一つである銃器が置かれたスタンド。クラスで一番目立つ存在。,
11211,アビドス教室のボードパーテーション,,情報伝達と空間分離をひとつにまとめた驚くべき発明品。居心地の良さと可愛さを同時に。,
11212,アビドス教室の先生のデスク,,生徒を指導する先生のデスク。生徒たちが持ってきてくれた香しい花と手紙でいっぱいだ。,
11213,アビドス教室のロゴフレーム,,アビドス教室のロゴフレーム。アビドスの象徴だ。,
11214,アビドス教室の学級目標,,お金に対する強い意志が感じられる世俗的ながらも現実的な学級目標。見る者に意志を湧かせる。,
11215,アビドス教室の分別ボックス,,色ごとにわかりやすく作られた分別ボックス。かわいい色でインテリア効果はおまけ。,
11216,アビドス教室のホワイトボード,,混沌と計画が一箇所に集まったホワイトボード。誰かには無限の画用紙。誰かには計画書。,
11217,アビドス教室の背景,,学生時代のロマンと熾烈さで満ちた教室の背景。,
11218,アビドス教室のタイルの床,,木材が織り成された教室のタイルの床。穏やかな雰囲気を作ってくれる。,
11219,アビドス教室の壁,,教室の柱とマッチする教室の壁。明るく晴れた感じがする。,
11300,アビドス教室の本棚,,実戦に強くなれるガイドブックなどが並ぶ教室の本棚。生徒たちの思い出もある。,
11301,アビドス教室の自転車,,アクティブな持ち主が乗って通いそうな自転車。自転車から活力と落ち着きが同時に感じられる。,
11302,アビドス教室のパーテーション,,スペースを効率的に分割する一般的なパーテーション。広いスペースを区別するのに便利です。,
11303,アビドス教室の教卓,,生徒の注目を一目で受けることができる教託。眺める目はたくさんですが、席の所有者は一つ。,
11304,アビドス教室の自動販売機,,生徒の口当たりをひきつける飲み物がいっぱいの自動販売機。先生もしばしば愛用する。,
11305,アビドス教室のマシンガンスタンド,,強力な性能とかわいい色を兼ね備えたマシンガンスタンド。簡単に取り外し可能。,
11306,アビドス教室の窓,,砂漠が広がるアビドス一帯が見える窓。誰かを待ちたくなる。,
