schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
6100,波模様の座椅子,,波模様のふかふかな座椅子。長く座っていても、あまり足が痺れない。,
6101,温泉カピバラ付き収納ケース,,温泉カピバラのぬいぐるみが付属した、温泉をコンセプトにした収納ケース。可愛くて、見ているだけで癒されそう。,
6102,温泉カピバラのガチャガチャ,,色んな温泉カピバラのおもちゃが入ったガチャガチャ。一度始めると、レアが出るまで止められない。,
6103,温泉模様の灯篭,,温泉模様の灯篭。これを置くだけで、何だか伝統を感じられる空間に。,
6104,扇子模様の行燈,,扇子模様がポイントの行灯。暗い空間を柔らかく、明るく照らしてくれる。,
6105,スチール製の雑誌スタンド,,色々なジャンルの雑誌が置かれたスチール製の雑誌スタンド。時間が余った時に覗いてみると、あっという間に時間が吸われる。,
6106,伝統的な木材のパーテーション,,伝統的な方式で作られた木材のパーテーション。広いスペースを区切って使いたい時などに有用。,
6107,伝統的な木材のパーテーションゲート,,伝統的な方式で作られた木材のパーテーションのゲート部分。見ていると何だか無性にくぐりたくなる。,
6108,竹の植木鉢,,竹が植えられた四角い植木鉢。竹のまっすぐな雰囲気が、空間にアクセントを与えてくれる。,
6109,温泉カピバラのタペストリー,,温泉カピバラのイラストが印刷されたタペストリー。その絶妙な丸っこさは「可愛い」のひと言。,
6110,温泉セット,,温泉で使うものをまとめたセット。湯船に入る前に、まずは色々と準備をしてから。,
6111,桜の盆栽付きテーブル,,桜の盆栽が置かれた小さなテーブル。ピンク色の華やかさが空間に彩りを与えてくれる。,
6112,伝統的な格子の窓,,伝統的な方式で作られた格子の窓。これを置くだけで旅館っぽさが溢れ出る。,
6200,マッサージチェア,,全身の疲れが取れるマッサージチェア。なかなかの高級品であり、一度座ると中々立ち上がれないらしい。,
6201,抹茶セット付きの座卓,,抹茶や甘味が楽しめる座卓。静かにお茶を楽しむひと時は、心の整理をするのにぴったり。,
6202,伝統的な畳の床,,伝統的な方式で作られた畳の床。火照った身体を投げ出してみると、ちょっと涼し気な感じがする。,
6203,保温庫,,飲み物を温かいまま保管することができる保温庫。これさえあれば、どんなに寒い冬でも怖くない！,
6300,伝統的な格子柄の壁,,木製の格子の模様と瓦が備えられた壁。これを置くだけで和風な感じがにじみ出る。,
6301,檜の浴槽,,檜で作られた浴槽。入ってみると、誰でも吐息が漏れ出すはず。,
6302,雪花柄のグラデーション背景,,冬らしい雪花柄のグラデーションの背景。冷たそうなデザインなのに、同時にどこか暖かみを感じる。,
