schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
2100,ピンク色のスツール,,シンプルなピンク色のスツール。ほっそりとしたデザインのため狭い場所にも置くことができ、スペースを節約しながらインテリアを考えられる。,
2101,観葉植物,,立派に育っている観葉植物。目にも体にも優しく、空気清浄の効果も感じられるかもしれない。,
2102,小さい窓,,換気のための小さい窓。小さくても効果は抜群。,
2300,パターンタイルの壁,,ネオンの壁掛け照明がポイントの、タイルの壁。空間全体を包むおしゃれな感覚が味わえる。,
2200,パターンタイルの床,,パターンタイルの床。空間全体におしゃれな感じをもたらしてくれる。,
2103,白いシンプルソファー,,クッションが置かれたシンプルなソファー。高反発性の素材が生徒たちの体を気持ちよく包み込む。,
2104,レッドのアーケードゲーム機,,レトロなアーケードゲーム機。「FIGHT」の文字を見た瞬間に闘志が燃え上がる。,
2105,パープルのアーケードゲーム機,,レトロなアーケードゲーム機。降り注ぐ小惑星を避けながら猫を助けるんだにゃん！にゃんにゃん！,
2106,ブルーのアーケードゲーム機,,レトロなアーケードゲーム機。怒りを力に！アングリーアデリーと一緒に、コインに向かって走ろう！,
2107,アーケードネオン電光板,,アーケードのネオン電光板。華麗なネオンで壁をかっこよく飾れる。,
2108,ゼリーズのネオン電光板,,ゼリーズのネオン電光板。ゼリーズの可愛さを存分に鑑賞できる。,
2109,カラフルパターンカーペット,,カラフルなパターンカーペット。匠の技で製織されたラグからは、美しい独創性が感じられる。,
2201,カセットテープテーブル,,カセットテープの形をしたテーブル。あの頃のロマンを完璧に再現している。,
2202,カラフルな自販機,,色々なおやつが入った自販機。油断するといつの間にコインを入れている自分に気づく。,
2203,カラーのマルチテレビ,,レトロ風なマルチテレビ。テレビもゲームも両方楽しめる！,
2204,ゼリーズのクレーンゲーム,,ゼリーズの人形が取れるクレーンゲーム。難易度が高すぎると悪名高い。,
2301,エアホッケーゲーム機,,エアホッケーが遊べるゲーム機。思った以上に運動効果はある。,
2302,レースゲーム機,,ホログラムで楽しむハイスピードレースゲーム機。リアルなレースを楽しむことができる。,
2303,ダンシング・スターのゲーム機,,ダンスリズムゲームを楽しめるゲーム機。今夜の主人公が今、決まろうとしている。,
