schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
3100,チョコレートスイーツの模型,,見るだけで甘さが伝わってくる、バレンタイン用のチョコレートスイーツの模型。その精巧さは本物と見間違えるほど。,
3101,バレンタインのスイーツオーブン,,様々なデザートが作れるバレンタイン用のスイーツ用オーブン。耐久性に優れ、長持ちする。,
3102,バレンタインのスイーツキッチンカウンター,,シンプルな構造のバレンタイン用のキッチンカウンター。横に広いため、料理作りにぴったり。,
3103,バレンタインの収納セット,,収納がたくさん入るバレンタイン用の家具。空間を上手く活用するのに最適。,
3104,茶色のチェック柄カーペット,,バレンタイン用の、茶色のチェック柄のカーペット。独創的なデザインで落ち着いた雰囲気を演出できる。,
3105,バレンタインのシングルチェア,,エレガントなバレンタイン用のシングルチェア。独創的なデザインで個性が際立つ一品。,
3106,チョコレートパーテーション,,バレンタイン用の、チョコレート模様のパーテーション。カジュアルな雰囲気で、独立した空間を作るのに最適。,
3107,バレンタインのスイーツショーケース,,バレンタイン用のスイーツを陳列するためのショーケース。綺麗なフレームがスイーツをより引き立たせる。,
3108,バレンタインのクッキーソファー,,クッキーのクッションをあしらったバレンタイン用のソファー。そのデザインは甘～い雰囲気を醸し出す。,
3109,バレンタインのマルチテーブル,,配色のセンスが際立つバレンタイン用のマルチテーブル。スッキリしたシルエットが魅力的。,
3110,ポイント照明付きの柱,,ポイントライトの照明が付いたバレンタイン用の柱。オレンジ色の照明が空間に柔らかさを与えてくれる。,
3111,チョコレート型のネオン電光掲示板,,バレンタイン用の、ロゴ付きチョコレート型ネオン電光掲示板。白とピンクの可愛い組み合わせが目を引く。,
3112,手作りチョコレートの模型,,バレンタイン用の手作りチョコレートの模型。バレンタインデーの日にイベントスペースの空間を演出する時には必須のアイテム。,
3113,バレンタインのチョコレート窓,,バレンタイン用のチョコレートの付いた窓。独創的なデザインで、きっと窓越しにあの人のハートも射止められるはず？,
3200,大型のチョコレートファウンテン,,バレンタイン用の、チョコレートが噴水のように流れる機械。友達と気軽にチョコレートフォンデュを楽しめる。,
3201,バレンタインのピンクなスイーツ模型,,ピンク色で可愛らしい、バレンタイン用の大きなスイーツの模型。甘くてロマンチックな演出に最適。,
3202,バレンタインのスイーツバーカウンター,,スイーツが注文できるバレンタイン用のバーカウンター。金色の飾りが付いていてちょっとリッチな感じ。,
3203,チョコレートスイーツの壁飾り,,バレンタイン用のロゴ入りの、大きなチョコレートの壁飾り。苺チョコのデザインはべたべたし過ぎないフレッシュな雰囲気を与えてくれる。,
3204,バレンタインのピンク床,,バレンタイン用のピンク色の床。ロマンチックな雰囲気を盛り上げることができます。,
3300,バレンタインのハートプレゼントボックス,,バレンタイン用のハートのプレゼントボックス。ロマンチックな雰囲気にぴったり。,
3301,バレンタインのティーテーブル,,バレンタイン用の豪華なティーテーブル。高級感溢れるアフタヌーンティーを楽しもう！,
3302,バレンタインのチョコレート壁,,チョコレートデザインのバレンタイン用の壁。チョコレートのマットな仕上がりが素晴らしい一品。,
3303,ピンクのハート背景,,ピンクのハート模様が可愛い、バレンタイン用の背景。華やかなピンク色で染まると、生徒たちも浮足立ち始める。,
