schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
7100,お正月の座布団,,落ち着いた色合いの座布団。高級感のある生地が優雅さを増してくれる。,
7101,お正月の和傘,,鮮やかな色合いがポイントの、華やかな模様の和傘。傘回しに挑戦するときは周囲にご注意を！,
7102,お正月の提灯,,伝統的な技法で製作された提灯。暗い夜を月よりも暖かく照らしてくれる。,
7103,お正月の帯掛,,色とりどりの着物の帯を掛けたもの。空間に優雅さと華やかさを添えてくれる。,
7104,お正月の衝立,,華やかに彩られたパーティーション（衝立）。部屋を仕切って、落ち着いた空間で新年を迎えよう！,
7105,お正月の格子窓,,昔から変わらないデザインの、伝統的な雰囲気の格子窓。かつてのモダンも、今ではレトロと呼ばれている。,
7106,灯油ストーブと切り餅,,空間を暖めてくれる灯油ストーブと切り餅のセット。膨らんだ切り餅はみんなで分けて食べよう！,
7107,お正月のけん玉セットテーブル,,けん玉セットの置かれたテーブル。お正月と言えばけん玉！,
7200,お正月の衣桁,,高級な原木を用いて作られた衣桁。美しい花柄の着物が掛けられている。,
7201,おせち料理のテーブル,,お正月のご馳走がぎっしり詰まったテーブル。美味しい食べ物と一緒に新年を迎えよう！,
7202,お正月の畳の床,,畳の敷かれた床。イ草の香りが心を落ち着かせてくれる。,
7203,書初め用のテーブル,,書初めのための道具が置かれたテーブル。今年の抱負を書いてみよう！,
7300,お正月の壁,,金の装飾も施された、落ち着いた雰囲気の漆喰の壁。昔から変わらない技法には、昔から変わらない良さと優雅さがある。,
7301,お正月のこたつ,,リラックスできる温かいこたつ。こたつの中で油断すると、いつの間にか次の日の朝に……！？,
7302,お正月の背景,,落ち着いた色彩の、優雅な花柄の背景。あけましておめでとうございます！,
