schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
1100,白いコーヒーテーブル,,コーヒーを置けるテーブル。のんびりとした午後のティータイムが楽しめる。,
1101,カラーのシングルチェア,,配色センスが際立つシングルチェア。丈夫なのにふかふかで、座ると気持ちいい。,
1102,植木鉢の棚,,植木鉢が乗せられた棚。壁に視覚的なアクセントをもたらす。,
1300,青いタイルの壁,,パターン模様のタイルの壁。シンプルかつ高級な雰囲気を与えてくれる。,
1200,青いタイルの床,,タイルの床。単調ではない絶妙な配色パターンが、高級な雰囲気を与えてくれる。,
1103,白いデザートテーブル,,デザートが置いてあるローテーブル。誰かと一緒に楽しく会話するのにぴったりなテーブル。,
1104,カラーの長椅子,,二人で使用可能な長椅子。長い時間座っても身体が痛まないのが大きなメリット。,
1105,カラーの二段植木鉢,,二段に分かれた植木鉢。これを置くだけで、自分だけの庭園が持つことができる。,
1106,モモフレンズのメニューの壁飾り,,カフェメニューの壁飾り。モモフレンズのメニューと明るい照明は可愛い雰囲気を演出してくれる。,
1107,モモフレンズの写真付きの柱,,モモフレンズカフェ関連の写真が飾られた柱。モモフレンズカフェを象徴するような写真を見ることができる。,
1108,ガラスの窓,,開放的な雰囲気を与えてくれるガラスの窓。コーヒーを飲みながら、カフェの外の景色をのんびりと楽しもう！,
1109,ペロロのセット棚,,ペロロの人形などが置かれた棚。ペロロの人形と小さい植木鉢が可愛らしい。,
1201,木製バーカウンター,,簡単に設置できるバーのカウンター。陳列されているデザートを見ると、つい注文をしたくなる。,
1202,木製収納付きドリンクセット,,様々な好みに合わせられるように用意されたドリンクのセット。究極の配合比率のドリンクを目指して、自分だけのレシピを作ってみよう。,
1203,ペロロ付きのカラーチェア,,ペロロの人形が置かれたカラーチェア。ペロロと並んで座ったまま、のんびりとした時間を過ごすことができる。,
1204,モモフレンズのネオン電光板,,黄色いネオン電光板。ペロロで壁をクールに飾れる。,
1301,木製キッチンカウンター,,耐久性に優れたキッチンカウンター。広々とした収納空間は、自分だけのレシピを追求するのにぴったり。,
1302,モモフレンズのグッズ付き収納ケース,,モモフレンズの代表的なグッズが付いた収納ケース。人形、コーヒー、文房具など、何でも入っている。,
1303,バリスタのペロロ人形,,巨大なペロロの人形。パンケーキを持ったバリスタのペロロが何とも言えない雰囲気を醸し出す。,
