schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
4100,ストライプカーペット,,白と青のストライプ柄のカーペット。どことなく涼しい気分にさせてくれる。,
4101,円形のストライプカーペット,,白と青のストライプ柄が施された、丸いタイプのカーペット。空間を楽しく、涼しげに彩ってくれる。,
4102,折りたたみ式ビーチチェア,,小さく折りたたむことができる、夏にピッタリのビーチチェア。コンパクトなサイズなので、ちょっとしたスペースにも置くことができる。,
4103,海へのお出かけセット,,海に行くときには欠かせないグッズがまとめられたセット。目いっぱい抱えて海へと向かおう！,
4104,青色のウッドパーテーション,,青く染められた木で作られたパーテーション。空間を爽やかに仕切ることができる。,
4105,シンプルな長方形植木鉢,,シンプルな白色の植木鉢。植物の彩りと合わさって、どんな空間も少しフレッシュな感じに。,
4106,モンステラの白い植木鉢,,モンステラが植えられた白い植木鉢。南国らしいその雰囲気が、気分をリラックスさせてくれる。,
4107,リゾート風の植木鉢,,熱帯地域の植物が植えられた植木鉢。これを置くだけで、部屋がまるでリゾート地のように感じらる。,
4108,折りたたみ式リゾートテーブル,,南国風の折りたたみテーブル。今なら爽やかなレモンジュースも付いてきます、お友達とのご歓談などにぜひ。,
4109,トロピカルなアートフレーム,,南国気分にさせてくれるアートが描かれたフレーム。これを見つめているだけで、気分は南国のリゾート地。,
4110,チェック柄の窓,,縦に長いタイプのチェック柄の窓。爽やかな配色が、空間に嫌味っぽくない高級感を出してくれる。,
4200,夏のパラソルセット,,夏を涼しく楽しむためのパラソル。パラソルの下で、ゆったりとした時間を過ごそう。,
4201,レトロな三段積みアンプ,,どこか懐かしい見た目のアンプ。このアンプならどんなパーティーも確実に盛り上がるはず。,
4202,トロピカルな壁掛けアート,,南国気分にさせてくれるアートが描かれた壁飾り。明るい照明と合わせて、思わず腕で目の前を覆ってしまいそう。,
4203,夏のネオン電光板,,夏をおしゃれに演出する電光板。最高のパーティーの始まりだ！,
4204,リゾート地風のガラス窓,,奥にリゾート地の風景が見えるガラス張りの窓。まずは気分だけでも、涼しい夏の景色を味わおう！,
4205,青いポーセリンストーンの床,,青いダイヤ柄のポイントが付いたポーセリンストーンの床。高級感溢れるマットな仕上がりになっている。,
4300,夏のデザートセットテーブル,,美味しいデザートがたくさん盛られたテーブル。甘酸っぱい夏のひと時を全力で楽しもう！,
4301,浮き輪付きの小型プール,,モモフレンズの浮き輪などがセットになった小型のプール。モモフレンズたちと楽しく遊ぼう！,
4302,カラフルな大型プール,,モモフレンズの水遊びセットが付いた、大型のプール。二度と来ないこの夏を全力で、存分に楽しもう！,
4303,天蓋付きリゾートソファ,,爽やかな色合いの天蓋が付いたソファー。涼し気な風に揺れる装飾を眺めながら、ゆっくりとこの時間を味わおう。,
4304,夏の青色ドット背景,,青いドット柄の背景。爽やかな青色が、夏の暑さを忘れさせてくれる。,
4305,夏の波模様の壁,,夏にピッタリの波模様の壁。室内なのに、まるで海辺にいるような感覚を与えてくれる。,
